LEAID,NAME,STATE_STATECODE
903538,REGIONAL SCHOOL DISTRICT 16,CT
3605670,BROOKFIELD CENTRAL SCHOOL DISTRICT,NY
2007740,Iola,KS
2700291,EAST RANGE ACADEMY OF TECH-SCIENCE,MN
4807530,AGUA DULCE ISD,TX
1800123,Inspire Academy - A Sch of Inquiry,IN
2007750,Jayhawk,KS
507380,HARRISON SCHOOL DISTRICT,AR
2600296,Laurus Academy,MI
3605820,BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT,NY
601463,Vista Springs Charter District,CA
2700292,LAURA JEFFREY ACADEMY CHARTER,MN
1800124,Phalen Leadership Academy - IN Inc,IN
903539,REGIONAL SCHOOL DISTRICT 17,CT
4807590,ALAMO HEIGHTS ISD,TX
2007800,Hodgeman County Schools,KS
3605850,BUFFALO CITY SCHOOL DISTRICT,NY
2700293,GLACIAL HILLS ELEMENTARY,MN
507530,HAZEN SCHOOL DISTRICT,AR
1800128,Tindley Preparatory Academy,IN
2007860,Stanton County,KS
2600297,Mildred C. Wells Preparatory Academy,MI
2700294,RTR PUBLIC SCHOOLS,MN
601464,Community Montessori District,CA
3605940,BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,NY
4807650,ALBA-GOLDEN ISD,TX
903540,REGIONAL SCHOOL DISTRICT 18,CT
2007890,Geary County Schools,KS
1800129,Canaan Community Academy,IN
2700295,NOBLE ACADEMY,MN
3606060,BYRAM HILLS CENTRAL SCHOOL DISTRICT,NY
2007950,Kansas City,KS
507560,HEBER SPRINGS SCHOOL DISTRICT,AR
1800130,Northwest IN Education Center,IN
2600300,Universal Learning Academy,MI
601465,Oakland Charter High District,CA
2700296,INTERNATIONAL SPANISH LANGUAGE ACAD,MN
4807680,ALBANY ISD,TX
903570,REGIONAL SCHOOL DISTRICT 11,CT
2007970,Kaw Valley,KS
3606090,BYRON-BERGEN CENTRAL SCHOOL DISTRICT,NY
1800131,Smith Academy for Excellence,IN
2008040,Crest,KS
2700298,PAUL BUNYAN EDUCATION COOPERATIVE,MN
507620,HECTOR SCHOOL DISTRICT,AR
4807710,ALDINE ISD,TX
3606160,CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,NY
2600301,Frontier International Academy,MI
1800133,Ripley-Ohio-Dearborn Sp Ed Coop,IN
2008070,Kingman - Norwich,KS
903600,REGIONAL SCHOOL DISTRICT 01,CT
2700299,LINCOLN INTERNATIONAL SCHOOL,MN
601466,Girls Athletic Leadership School Los Angeles District,CA
3606180,CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,NY
4807780,ALEDO ISD,TX
2008100,Kinsley-Offerle,KS
1800134,Excel Center - Richmond,IN
507680,HELENA/ W.HELENA SCHOOL DIST.,AR
2700300,MINISINAAKWAANG LEADERSHIP ACADEMY,MN
2600302,Detroit Enterprise Academy,MI
903630,REGIONAL SCHOOL DISTRICT 04,CT
3606210,CAMBRIDGE CENTRAL SCHOOL DISTRICT,NY
2008130,South Barber,KS
1800135,Excel Center - Kokomo,IN
4807800,ALICE ISD,TX
2700304,COMMUNITY SCHOOL OF EXCELLENCE,MN
601467,Pacific Community Charter District,CA
2008190,Kismet-Plains,KS
3606240,CAMDEN CENTRAL SCHOOL DISTRICT,NY
1800136,Nexus Academy of Indianapolis,IN
507710,HERMITAGE SCHOOL DISTRICT,AR
2600305,Hanley International Academy,MI
2008220,LaCrosse,KS
2700308,KIPP MINNESOTA CHARTER SCHOOL,MN
4807830,ALIEF ISD,TX
903660,REGIONAL SCHOOL DISTRICT 05,CT
1800137,Enlace Academy,IN
3606300,CANAJOHARIE CENTRAL SCHOOL DISTRICT,NY
2008250,Prairie View,KS
2700309,BEST ACADEMY,MN
601468,America's Finest Charter District,CA
2600306,Bridge Academy,MI
1800138,Excel Center - Lafayette Square,IN
3606330,CANANDAIGUA CITY SCHOOL DISTRICT,NY
2008280,Lakin,KS
507740,CROSS COUNTY SCHOOL DISTRICT,AR
4807890,ALLEN ISD,TX
2700310,NATURAL SCIENCE ACADEMY,MN
903720,REGIONAL SCHOOL DISTRICT 07,CT
1800139,Tindley Collegiate Academy,IN
2008310,Fairfield,KS
3606360,CANASERAGA CENTRAL SCHOOL DISTRICT,NY
2700311,ASPEN ACADEMY,MN
601469,Sycamore Valley Academy District,CA
2600307,Detroit Premier Academy,MI
2008340,Lansing,KS
1800140,Central IN Education Service Ctr,IN
4807950,ALPINE ISD,TX
507770,HIGHLAND SCHOOL DISTRICT,AR
3606390,CANASTOTA CENTRAL SCHOOL DISTRICT,NY
903750,REGIONAL SCHOOL DISTRICT 08,CT
2008370,Ft Larned,KS
2700312,INFINITY:MINNESOTA  DIGITAL ACADEMY,MN
1800141,Tindley Renaissance Academy,IN
2600308,Academy of Warren,MI
601470,Crete Academy District,CA
3606420,CANDOR CENTRAL SCHOOL DISTRICT,NY
2008400,Lawrence,KS
2700313,GLOBAL ACADEMY,MN
4807980,ALTO ISD,TX
507840,HOPE SCHOOL DISTRICT,AR
1800142,Excel Center - Lafayette,IN
2008430,Leavenworth,KS
903780,REGIONAL SCHOOL DISTRICT 09,CT
2700314,RIVERS EDGE ACADEMY,MN
2600310,Prevail Academy,MI
3606470,CANTON CENTRAL SCHOOL DISTRICT,NY
2008550,Bluestem,KS
1800145,Tindley Genesis Academy,IN
4808090,ALVIN ISD,TX
601471,Accelerated Charter Elementary District,CA
2700315,LIONSGATE ACADEMY,MN
507860,HORATIO SCHOOL DISTRICT,AR
3606500,SPACKENKILL UNION FREE SCHOOL DISTRICT,NY
2008610,Leoti,KS
903810,RIDGEFIELD SCHOOL DISTRICT,CT
1800146,Vision Academy,IN
2600311,Triumph Academy,MI
2700316,BRIGHT WATER ELEMENTARY,MN
3606540,CARLE PLACE UNION FREE SCHOOL DISTRICT,NY
4808100,ALVORD ISD,TX
2008670,LeRoy-Gridley,KS
1800147,KIPP Indy Unite Elementary,IN
601472,Ocean Grove Charter District,CA
507890,HOT SPRINGS SCHOOL DISTRICT,AR
903840,ROCKY HILL SCHOOL DISTRICT,CT
2008700,Lewis,KS
2700318,RUM RIVER SPECIAL EDUCATION COOP,MN
3606570,CARMEL CENTRAL SCHOOL DISTRICT,NY
1800148,Tindley Summit Academy,IN
2600312,American Montessori Academy,MI
2008730,Liberal,KS
4808130,AMARILLO ISD,TX
2700319,COLOGNE ACADEMY,MN
1800149,Christel House Academy West,IN
507920,JESSIEVILLE SCHOOL DISTRICT,AR
601473,Classical Academy Vista District,CA
3606630,CARTHAGE CENTRAL SCHOOL DISTRICT,NY
903900,SALEM SCHOOL DISTRICT,CT
2008790,Lincoln,KS
2700320,DAVINCI ACADEMY,MN
2600314,Fortis Academy,MI
4808160,AMHERST ISD,TX
1800150,Anderson Community School Corp,IN
2008880,Little River,KS
3606660,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,NY
507990,HOXIE SCHOOL DISTRICT,AR
2700321,OSHKI OGIMAAG CHARTER SCHOOL,MN
2008910,Logan,KS
903930,SALISBURY SCHOOL DISTRICT,CT
2600315,Multicultural Academy,MI
1800152,Indianapolis Academy of Excellence,IN
601474,B. Roberto Cruz Leadership Academy District,CA
3606690,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,NY
4808190,ANAHUAC ISD,TX
2008940,Centre,KS
2700322,REDWOOD AREA TELECOM COOPERATIVE,MN
1800158,Indiana College Preparatory School,IN
508040,WEST MEMPHIS SCHOOL DISTRICT,AR
3606720,CATSKILL CENTRAL SCHOOL DISTRICT,NY
2008970,Louisburg,KS
903960,SCOTLAND SCHOOL DISTRICT,CT
2700323,SCOTT COUNTY SCHOOLS NETWORK (SCSN),MN
601475,Pathways to College District,CA
2600316,St. Clair County Intervention Academy,MI
4808230,ANDERSON-SHIRO CISD,TX
1800159,Excel Center - University Heights,IN
2009000,Lyndon,KS
3606780,CAZENOVIA CENTRAL SCHOOL DISTRICT,NY
2700324,CANNON RIVER STEM SCHOOL,MN
508130,HUNTSVILLE SCHOOL DISTRICT,AR
1800160,Marion Academy,IN
2009030,Lyons,KS
903990,SEYMOUR SCHOOL DISTRICT,CT
2600317,Madison Academy,MI
4808280,ANDREWS ISD,TX
3606840,CENTER MORICHES UNION FREE SCHOOL DISTRICT,NY
601476,Camino Nuevo Charter High District,CA
2009060,Macksville,KS
2700325,COLLEGE PREPARATORY ELEMENTARY,MN
1800161,Success Academy Primary School,IN
508240,JASPER SCHOOL DISTRICT,AR
904020,SHARON SCHOOL DISTRICT,CT
2009090,Madison-Virgil,KS
2700326,TRACY AREA PUBLIC SCHOOL DISTRICT,MN
4808310,ANGLETON ISD,TX
3606870,CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,NY
2600318,Saginaw Learn to Earn Academy,MI
1800163,Excel Center - Noblesville,IN
2009140,Maize,KS
601477,New Heights Charter District,CA
904050,SHELTON SCHOOL DISTRICT,CT
2700327,SOUTHERN MN EDUCATION CONSORTIUM,MN
2009180,Manhattan-Ogden,KS
1800164,Career Academy Middle School,IN
508280,JONESBORO SCHOOL DISTRICT,AR
4808340,ANNA ISD,TX
3606900,CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,NY
2700328,ORTONVILLE PUBLIC SCHOOLS,MN
2600322,Covenant House Academy Detroit,MI
2009240,Marion-Florence,KS
904080,SHERMAN SCHOOL DISTRICT,CT
1800165,Dugger Union Community School Corp,IN
601478,Meadows Arts and Technology Elementary District,CA
4808400,ANSON ISD,TX
2009320,Royal Valley,KS
2700331,NOBLES COUNTY INTG COLLABORATIVE,MN
1800166,Christel House DORS West,IN
508340,JUNCTION CITY SCHOOL DISTRICT,AR
3606990,CHAPPAQUA CENTRAL SCHOOL DISTRICT,NY
2009360,McLouth,KS
904110,SIMSBURY SCHOOL DISTRICT,CT
2600330,Academic and Career Education Academy,MI
1800167,Carpe Diem - Northwest,IN
2700333,PARNASSUS PREPARATORY CHARTER SCH,MN
4808430,ANTHONY ISD,TX
2009390,McPherson,KS
601479,American Indian Public Charter District,CA
1800168,Mays Community Academy,IN
508400,RIVERVIEW SCHOOL DISTRICT,AR
2700335,HENNEPIN ELEMENTARY SCHOOL,MN
3607020,GRAND ISLAND CENTRAL SCHOOL DISTRICT,NY
2009420,Meade,KS
4808460,ANTON ISD,TX
904140,SOMERS SCHOOL DISTRICT,CT
1800169,Excel Center - South Bend,IN
2600331,Taylor Exemplar Academy,MI
2700337,NOVA CLASSICAL ACADEMY,MN
601480,Sol Aureus College Preparatory District,CA
2009450,Barber County North,KS
1800170,Global Preparatory Academy,IN
508490,KIRBY SCHOOL DISTRICT,AR
2700339,GREAT EXPECTATIONS,MN
4808490,APPLE SPRINGS ISD,TX
904170,SOUTH WINDSOR SCHOOL DISTRICT,CT
3607050,CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,NY
2009480,Marais Des Cygnes Valley,KS
1800171,Steel City Academy,IN
2600333,David Ellis Academy West,MI
2700341,MINNESOTA INTERNSHIP CENTER,MN
601481,SOAR Charter Academy District,CA
2009510,Jefferson West,KS
4808520,AQUILLA ISD,TX
1800172,ACE Preparatory Academy,IN
508610,LAKE HAMILTON SCHOOL DISTRICT,AR
2700342,HMONG COLLEGE PREP ACADEMY,MN
904230,SOUTHINGTON SCHOOL DISTRICT,CT
2600943,ACE Academy (SDA),MI
2009570,North Ottawa County,KS
3607080,CHATEAUGAY CENTRAL SCHOOL DISTRICT,NY
1800173,Indianapolis Lighthouse East,IN
2009600,Minneola,KS
2700343,PALADIN CAREER AND TECH HIGH SCHOOL,MN
4808550,ARANSAS COUNTY ISD,TX
904260,SPRAGUE SCHOOL DISTRICT,CT
601482,SCALE Leadership Academy District,CA
1800175,Excel Center - Shelbyville,IN
2009630,Montezuma,KS
2600945,Flagship Charter Academy,MI
2700344,GREAT RIVER SCHOOL,MN
3607110,CHATHAM CENTRAL SCHOOL DISTRICT,NY
508640,LAKESIDE SCHOOL DISTRICT (CHICOT COUNTY),AR
2009660,Marmaton Valley,KS
4808580,ARANSAS PASS ISD,TX
1800176,Seven Oaks Classical School,IN
2700345,TREKNORTH HIGH SCHOOL,MN
904290,STAFFORD SCHOOL DISTRICT,CT
400320,Acorn Montessori Charter School (79437),AZ
601483,SD Global Vision Academy District,CA
2009720,Moscow Public Schools,KS
1800177,Kindezi Academy,IN
2600946,International Academy of Saginaw,MI
2700346,VOYAGEURS EXPEDITIONARY,MN
3607170,CHAZY UNION FREE SCHOOL DISTRICT,NY
508670,LAKESIDE SCHOOL DISTRICT,AR
2009780,Moundridge,KS
4808610,ARCHER CITY ISD,TX
400321,Pinnacle Education-WMCB Inc. (79439),AZ
2700349,PIM Arts High School,MN
1800178,Higher Institute of Arts & Tech,IN
904320,STAMFORD SCHOOL DISTRICT,CT
3607230,CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,NY
2009840,Mulvane,KS
508700,LAMAR SCHOOL DISTRICT,AR
601484,PUC Triumph CHRTR Academy & PUC Triumph CHRTR High District,CA
2600947,Clara B. Ford Academy (SDA),MI
1800179,Insight School of Indiana,IN
400322,Desert Rose AcademyInc. (79441),AZ
2009850,Paradise,KS
2700350,AUGSBURG FAIRVIEW ACADEMY,MN
3607260,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NY
4808670,ARGYLE ISD,TX
904350,STERLING SCHOOL DISTRICT,CT
2009900,Neodesha,KS
1800180,Argos Community Schools,IN
2600949,Lighthouse Academy,MI
508730,LAVACA SCHOOL DISTRICT,AR
400323,Crown Charter School Inc (79443),AZ
2700351,ST PAUL CONSERVATORY PERFORMING ART,MN
3607290,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,NY
2009930,Ness City,KS
601485,Crescent Valley Public Charter II District,CA
4808700,ARLINGTON ISD,TX
400326,Success School (79453),AZ
904380,STONINGTON SCHOOL DISTRICT,CT
1800181,Circle City Prep Charter School,IN
2700352,Spero Academy,MN
2600950,Reach Charter Academy,MI
2009960,Newton,KS
3607320,WESTHILL CENTRAL SCHOOL DISTRICT,NY
508940,LINCOLN SCHOOL DISTRICT,AR
4808730,ARP ISD,TX
2009990,Nickerson,KS
400327,Pointe Educational Services (79455),AZ
2700353,URBAN ACADEMY CHARTER SCHOOL,MN
1800182,Excel Center - Clarksville,IN
601486,Palm Lane Elementary Charter District,CA
3607380,CHESTER UNION FREE SCHOOL DISTRICT,NY
2600951,Vista Meadows Academy,MI
904440,STRATFORD SCHOOL DISTRICT,CT
2010020,Norton Community Schools,KS
2700354,NEW CITY SCHOOL,MN
509000,LITTLE ROCK SCHOOL DISTRICT,AR
400328,A Center for Creative Education (79457),AZ
4808870,ATHENS ISD,TX
1800183,Purdue Polytechnic High School Ind,IN
3607440,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,NY
2010050,Oakley,KS
2700355,ARCADIA CHARTER SCHOOL,MN
601487,Mojave River Academy - Route 66 District,CA
2010080,Oberlin,KS
904470,SUFFIELD SCHOOL DISTRICT,CT
400329,American Virtual Academy (79461),AZ
3607470,CHITTENANGO CENTRAL SCHOOL DISTRICT,NY
1800184,Avondale Meadows Middle School,IN
509060,LONOKE SCHOOL DISTRICT,AR
2600952,University Preparatory Science and Math (PSAD),MI
4808880,ATLANTA ISD,TX
2700358,LAKES INTERNATIONAL LANGUAGE ACADEM,MN
2010140,Olathe,KS
1800185,Excel Center - Hammond,IN
400330,Compass High School Inc. (79467),AZ
3607530,CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT,NY
601488,Palisades Charter High District,CA
2700360,KALEIDOSCOPE CHARTER SCHOOL,MN
4808910,AUBREY ISD,TX
2010170,Onaga-Havensville-Wheaton,KS
904500,THOMASTON SCHOOL DISTRICT,CT
509150,MAGAZINE SCHOOL DISTRICT,AR
1800186,Indiana Virtual Pathways Academy,IN
2600955,Youth Advancement Academy,MI
3607560,CINCINNATUS CENTRAL SCHOOL DISTRICT,NY
400332,James Sandoval Preparatory High School (79475),AZ
2700361,ACADEMIC ARTS HIGH SCHOOL,MN
2010230,Osage City,KS
1800187,Riverside High School,IN
4808940,AUSTIN ISD,TX
601489,The Heights Charter District,CA
2010260,Osawatomie,KS
3607590,CLARENCE CENTRAL SCHOOL DISTRICT,NY
904530,THOMPSON SCHOOL DISTRICT,CT
2700362,ST. CROIX PREPARATORY ACADEMY,MN
400339,Destiny School Inc. (6258),AZ
1800188,J & R Phalen Leadership Academy,IN
2600956,University Preparatory Academy (PSAD),MI
509190,MAGNET COVE SCHOOL DIST.,AR
2010290,Osborne County,KS
3607650,THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT,NY
4809000,AUSTWELL-TIVOLI ISD,TX
1800189,Otwell Miller Academy,IN
2700363,UBAH MEDICAL ACADEMY CHARTER SCHOOL,MN
400340,Noah Webster Schools - Mesa (10760),AZ
904560,TOLLAND SCHOOL DISTRICT,CT
2010320,Oskaloosa Public Schools,KS
601490,CHIME Institute's Schwarzenegger Community District,CA
3607680,CLEVELAND HILL UNION FREE SCHOOL DISTRICT,NY
509240,MALVERN SCHOOL DISTRICT,AR
2600958,Washington-Parks Academy,MI
1800190,Ignite Achievement Academy,IN
2010350,Oswego,KS
2700364,EAGLE RIDGE ACADEMY CHARTER SCHOOL,MN
4809030,AVALON ISD,TX
400341,Valley Academy for Career and Technology Education (79397),AZ
3607710,CLIFTON-FINE CENTRAL SCHOOL DISTRICT,NY
904590,TORRINGTON SCHOOL DISTRICT,CT
2010410,Santa Fe Trail,KS
2700366,BEACON ACADEMY,MN
1800191,Indiana Connections Career Academy,IN
601491,Leadership High District,CA
4809060,AVERY ISD,TX
2010440,Oxford,KS
400343,Griffin Foundation Inc. The (79500),AZ
3607770,CLINTON CENTRAL SCHOOL DISTRICT,NY
2600959,Lansing Charter Academy,MI
509270,MAMMOTH SPRING SCHOOL DISTRICT,AR
1800192,Urban ACT Academy,IN
2700367,STEP ACADEMY CHARTER SCHOOL,MN
904620,TRUMBULL SCHOOL DISTRICT,CT
2010470,Palco,KS
601492,NorCal Trade and Tech District,CA
400344,Pathways KM Charter Schools Inc (78890),AZ
3607860,CLYDE-SAVANNAH CENTRAL SCHOOL DISTRICT,NY
1800193,Vanguard Collegiate of Indy,IN
4809090,AVINGER ISD,TX
2700368,CORNERSTONE MONTESSORI ELEMENTARY,MN
2010500,Paola,KS
1800194,Matchbook Learning,IN
400345,Cochise Technology District (79403),AZ
509330,MANSFIELD SCHOOL DISTRICT,AR
3607890,CLYMER CENTRAL SCHOOL DISTRICT,NY
2700369,Discovery Woods,MN
904650,UNION SCHOOL DISTRICT,CT
2600960,Michigan Department of Community Health,MI
4809150,AXTELL ISD,TX
2010560,Parsons,KS
601493,Downtown Charter Academy District,CA
1800195,Gary Middle College West,IN
2010590,Peabody-Burns,KS
3607980,COHOES CITY SCHOOL DISTRICT,NY
400347,Coconino Association for Vocation Industry and Tec (79381),AZ
2700370,ROCHESTER STEM ACADEMY,MN
1800196,Paramount Community Heights,IN
904680,VERNON SCHOOL DISTRICT,CT
4809200,AZLE ISD,TX
2010620,Perry Public Schools,KS
509360,LEE COUNTY SCHOOL DISTRICT,AR
3608010,COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,NY
2600961,Henry Ford Academy: School for Creative Studies (PSAD),MI
2700372,VERMILION COUNTRY SCHOOL,MN
400348,Central Arizona Valley Institute of Technology (79385),AZ
1800197,Excel Center - Muncie,IN
2010650,Phillipsburg,KS
601494,Los Angeles Leadership Academy District,CA
4809280,BAIRD ISD,TX
2700373,MASTERY SCHOOL,MN
904710,VOLUNTOWN SCHOOL DISTRICT,CT
2010680,Piper-Kansas City,KS
509390,MARION SCHOOL DISTRICT,AR
400349,Gila Institute for Technology (79387),AZ
1800198,Indiana Agriculture and Technology,IN
2600963,Achieve Charter Academy,MI
4809300,BALLINGER ISD,TX
2010710,Pittsburg,KS
2700374,WEST SIDE SUMMIT CHARTER SCHOOL,MN
1800199,Allegiant Preparatory Academy,IN
400350,PEAK School Inc. The (79866),AZ
2010740,Plainville,KS
904740,WALLINGFORD SCHOOL DISTRICT,CT
601495,Wilder's Preparatory Academy Charter Middle District,CA
4809330,BALMORHEA ISD,TX
2700376,UPPER MISSISSIPPI ACADEMY,MN
1800200,Excel Center - Gary,IN
2010770,Pleasanton,KS
509420,MARKED TREE SCHOOL DISTRICT,AR
2600964,Four Corners Montessori Academy,MI
400351,Kaizen Education Foundation dba Vista Grove Prepar (79871),AZ
2700378,NASHA SHKOLA CHARTER SCHOOL,MN
1800201,Paramount Mass Ave,IN
4809360,BANDERA ISD,TX
2010800,West Franklin,KS
904830,WATERBURY SCHOOL DISTRICT,CT
1800202,pilotED Schools,IN
601496,Aspire Triumph Technology Academy District,CA
2600965,Quest Charter Academy,MI
2700379,TRI-CITY UNITED SCHOOL DISTRICT,MN
2010890,Pratt,KS
400352,American Charter Schools Foundation d.b.a. Estrell (79873),AZ
4809390,BANGS ISD,TX
509480,SEARCY COUNTY SCHOOL DISTRICT,AR
2700380,PRODEO ACADEMY,MN
2010920,Pretty Prairie,KS
1800203,Timothy L. Johnson Academy Middle,IN
904860,WATERFORD SCHOOL DISTRICT,CT
2600966,Three Lakes Academy,MI
400353,American Charter Schools Foundation d.b.a. Peoria  (79875),AZ
4809410,BANQUETE ISD,TX
601497,Willits Elementary Charter District,CA
509510,MARVELL SCHOOL DISTRICT,AR
2010950,Quinter Public Schools,KS
3608100,COLTON-PIERREPONT CENTRAL SCHOOL DISTRICT,NY
1800210,Attica Consolidated School Corp,IN
2700382,BRANDON-EVANSVILLE PUBLIC SCHOOLS,MN
2010980,Blue Valley,KS
904890,WATERTOWN SCHOOL DISTRICT,CT
4809450,BARBERS HILL ISD,TX
2700383,MORRIS AREA PUBLIC SCHOOLS,MN
1800240,South Dearborn Community Sch Corp,IN
2600967,Michigan Mathematics and Science Academy,MI
2011040,Golden Plains,KS
601498,KIPP Bayview Elementary District,CA
509540,MAYFLOWER SCHOOL DISTRICT,AR
400354,American Charter Schools Foundation d.b.a. Sun Val (79877),AZ
3608130,COMMACK UNION FREE SCHOOL DISTRICT,NY
2700384,VENTURE ACADEMY,MN
4809540,BARTLETT ISD,TX
1800270,Avon Community School Corp,IN
2011080,Renwick,KS
904920,WEST HARTFORD SCHOOL DISTRICT,CT
2011100,Riley County,KS
2700385,RED LAKE COUNTY CENTRAL PUBLIC SCH,MN
1800330,Barr-Reeve Community Schools Inc,IN
400355,American Charter Schools Foundation d.b.a. West Ph (79879),AZ
509570,MAYNARD SCHOOL DISTRICT,AR
4809570,BASTROP ISD,TX
2600968,Virtual Learning Academy of St. Clair County,MI
3608160,CONNETQUOT CENTRAL SCHOOL DISTRICT,NY
601499,Sierra Expeditionary Learning District,CA
2011130,Riverton,KS
2700386,SEJONG ACADEMY OF MINNESOTA,MN
904950,WEST HAVEN SCHOOL DISTRICT,CT
400356,Nosotros Inc (79881),AZ
1800360,Bartholomew Con School Corp,IN
2011190,Rolla,KS
4809630,BAY CITY ISD,TX
509600,MCCRORY SCHOOL DISTRICT,AR
3608250,COOPERSTOWN CENTRAL SCHOOL DISTRICT,NY
2700388,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,MN
1800390,Batesville Community School Corp,IN
2011220,Flinthills,KS
2600969,Michigan Connections Academy,MI
601500,Options for Youth-Acton District,CA
400357,American Charter Schools Foundation d.b.a. Apache  (79883),AZ
904980,WESTBROOK SCHOOL DISTRICT,CT
4809670,BEAUMONT ISD,TX
3608280,COPENHAGEN CENTRAL SCHOOL DISTRICT,NY
1800420,Baugo Community Schools,IN
2700389,TECHNICAL ACADEMIES OF MINNESOTA,MN
509630,MCGEHEE SCHOOL DISTRICT,AR
2011250,Rose Hill Public Schools,KS
400359,Challenger Basic School Inc. (79886),AZ
3608310,COPIAGUE UNION FREE SCHOOL DISTRICT,NY
1800450,Beech Grove City Schools,IN
4809690,BECKVILLE ISD,TX
2011280,Pawnee Heights,KS
2700390,STAR OF THE NORTH ACADEMY CHARTER S,MN
2600970,Leelanau Montessori Public School Academy,MI
601501,Olive Grove Charter - Buellton District,CA
905010,WESTON SCHOOL DISTRICT,CT
400361,Arizona Community Development Corporation (79947),AZ
509720,MELBOURNE SCHOOL DISTRICT,AR
3608340,PEMBROKE CENTRAL SCHOOL DISTRICT,NY
1800480,Benton Community School Corp,IN
2011310,Russell County,KS
2700391,DISCOVERY CHARTER SCHOOL,MN
4809720,BEEVILLE ISD,TX
400363,SC Jensen Corporation Inc. dba Intelli-School (79951),AZ
2011370,Salina,KS
2600971,University Yes Academy,MI
509750,MENA SCHOOL DISTRICT,AR
3608370,CORINTH CENTRAL SCHOOL DISTRICT,NY
1800570,Blackford County Schools,IN
905040,WESTPORT SCHOOL DISTRICT,CT
2700393,UNIVERSAL ACADEMY CHARTER SCHOOL,MN
601502,Making Waves Academy District,CA
2011400,Satanta,KS
4809750,BELLEVUE ISD,TX
400364,PAS Charter Inc. dba Intelli-School (79953),AZ
1800600,Bloomfield School District,IN
3608400,CORNING CITY SCHOOL DISTRICT,NY
2700394,AGAMIM CLASSICAL ACADEMY,MN
2011430,Skyline Schools,KS
2600972,Michigan Virtual Charter Academy,MI
509780,MINERAL SPRINGS SCHOOL DIST.,AR
4809780,BELLS ISD,TX
905070,WETHERSFIELD SCHOOL DISTRICT,CT
3608430,CORNWALL CENTRAL SCHOOL DISTRICT,NY
2011490,Seaman,KS
400366,Valley of the Sun Waldorf Education Association d (79957),AZ
1800630,Monroe County Community Sch Corp,IN
2700395,SAINT CLOUD MATH AND SCIENCE ACADEM,MN
601503,Elevate Elementary District,CA
3608460,CORTLAND CITY SCHOOL DISTRICT,NY
4809810,BELLVILLE ISD,TX
2600973,Global Heights Academy,MI
1800660,Blue River Valley Schools,IN
2700396,BDOTE LEARNING CENTER,MN
2011520,Chautauqua Co Community,KS
509840,MONTICELLO SCHOOL DISTRICT,AR
905100,WILLINGTON SCHOOL DISTRICT,CT
400367,Pima Prevention Partnership dba Pima Partnership S (79959),AZ
601504,Thrive Public District,CA
3608470,MOUNT PLEASANT-COTTAGE UNION FREE SCHOOL DISTRICT,NY
2700397,ART AND SCIENCE ACADEMY,MN
1800690,North Harrison Com School Corp,IN
2011550,Sedgwick Public Schools,KS
4809860,BELTON ISD,TX
400368,Academy of Mathematics and Science Inc. (79961),AZ
905130,WILTON SCHOOL DISTRICT,CT
2600974,Detroit Leadership Academy,MI
2700398,NORTHEAST COLLEGE PREP,MN
3608490,COXSACKIE-ATHENS CENTRAL SCHOOL DISTRICT,NY
2011610,Wallace County Schools,KS
1800720,M S D Bluffton-Harrison,IN
509990,MOUNT IDA SCHOOL DISTRICT,AR
601505,Da Vinci Communications High District,CA
400370,Midtown Primary School (79994),AZ
1800750,M S D Boone Township,IN
2700399,MINNESOTA MATH AND SCIENCE ACADEMY,MN
2011640,Shawnee Mission Pub Sch,KS
3608580,CROTON-HARMON UNION FREE SCHOOL DISTRICT,NY
4809870,BEN BOLT-PALITO BLANCO ISD,TX
905160,WINCHESTER SCHOOL DISTRICT,CT
2600977,West Michigan Aviation Academy,MI
400373,Tucson International Academy Inc. (79979),AZ
1800840,Clay Community Schools,IN
2011700,Silver Lake,KS
510080,MT. VERNON/ENOLA SCHOOL DIST.,AR
3608610,CROWN POINT CENTRAL SCHOOL DISTRICT,NY
2700401,WOODBURY LEADERSHIP ACADEMY,MN
601506,Uplift California Santa Barbara District,CA
4809980,BENJAMIN ISD,TX
2011760,Solomon,KS
1800900,Bremen Public Schools,IN
905190,WINDHAM SCHOOL DISTRICT,CT
2600979,Legacy Charter Academy,MI
400374,Bell Canyon Charter School Inc (79983),AZ
2700402,Career Pathways,MN
3608790,DANSVILLE CENTRAL SCHOOL DISTRICT,NY
2011790,South Haven,KS
4810140,BIG SANDY ISD,TX
